"image","xmin","ymin","xmax","ymax","label"
"image-11.png",29.556913375854492,111.7413387298584,75.1316089630127,157.3160343170166,"rbc"
"image-11.png",69.76194190979004,73.2848072052002,108.69331932067871,112.21618461608887,"rbc"
"image-11.png",14.047904968261719,56.69427490234375,55.001319885253906,97.64768981933594,"rbc"
"image-11.png",29.98124885559082,6.95556640625,78.20184898376465,55.17616653442383,"rbc"
"image-11.png",-25.608497619628906,-2.1084976196289062,50.608497619628906,74.1084976196289,"rbc"
"image-110.png",-5.548959732055664,216.95104026794434,40.548959732055664,263.04895973205566,"rbc"
"image-110.png",-18.283119201660156,176.71688079833984,25.283119201660156,220.28311920166016,"rbc"
"image-110.png",158.62404251098633,145.3204689025879,269.98310470581055,256.6795310974121,"rbc"
"image-110.png",183.36822509765625,34.86822509765625,274.63177490234375,126.13177490234375,"rbc"
"image-110.png",-27.747772216796875,26.252227783203125,213.74777221679688,267.7477722167969,"rbc"
"image-111.png",61.795799255371094,127.7957992553711,259.2042007446289,325.2042007446289,"rbc"
"image-111.png",-25.91307830810547,149.58692169189453,88.91307830810547,264.41307830810547,"rbc"
"image-111.png",-19.237499237060547,92.26250076293945,45.23749923706055,156.73749923706055,"rbc"
"image-111.png",3.842010498046875,26.369972229003906,235.20506286621094,257.73302459716797,"rbc"
"image-111.png",-33.39097213745117,25.609027862548828,44.39097213745117,103.39097213745117,"rbc"
"image-111.png",93.67617797851562,-12.823822021484375,313.3238220214844,206.82382202148438,"rbc"
"image-111.png",-11.457733154296875,-8.299125671386719,172.98928833007812,176.14789581298828,"rbc"
"image-111.png",81.40205001831055,48.90205001831055,132.59794998168945,100.09794998168945,"rbc"
"image-111.png",-7.906650543212891,-14.40665054321289,66.90665054321289,60.40665054321289,"rbc"
"image-112.png",179.17803192138672,175.17803192138672,268.8219680786133,264.8219680786133,"rbc"
"image-112.png",108.20577239990234,-10.794227600097656,310.79422760009766,191.79422760009766,"rbc"
"image-112.png",12.8841552734375,-0.4129638671875,285.8981628417969,272.6010437011719,"rbc"
"image-112.png",99.84029769897461,-17.15970230102539,139.1597023010254,22.15970230102539,"rbc"
